GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUUEE001,AUUEE002,AUUEE003,NAME_M,AUUEM001,AUUEM002,AUUEM003
G0600750026303,2020-2024,CA,,,California,06,San Francisco County,075,,,026303,,,,,,,,,,,,,,,,,,,,,,,1400000US06075026303,,,06075026303,"Census Tract 263.03, San Francisco County, California",1357,1029,328,"Census Tract 263.03, San Francisco County, California",243,237,109
G0600750026401,2020-2024,CA,,,California,06,San Francisco County,075,,,026401,,,,,,,,,,,,,,,,,,,,,,,1400000US06075026401,,,06075026401,"Census Tract 264.01, San Francisco County, California",1018,654,364,"Census Tract 264.01, San Francisco County, California",118,138,105
G0600750026402,2020-2024,CA,,,California,06,San Francisco County,075,,,026402,,,,,,,,,,,,,,,,,,,,,,,1400000US06075026402,,,06075026402,"Census Tract 264.02, San Francisco County, California",1241,918,323,"Census Tract 264.02, San Francisco County, California",230,188,168
G0600750026403,2020-2024,CA,,,California,06,San Francisco County,075,,,026403,,,,,,,,,,,,,,,,,,,,,,,1400000US06075026403,,,06075026403,"Census Tract 264.03, San Francisco County, California",1149,714,435,"Census Tract 264.03, San Francisco County, California",202,215,169
G0600750026404,2020-2024,CA,,,California,06,San Francisco County,075,,,026404,,,,,,,,,,,,,,,,,,,,,,,1400000US06075026404,,,06075026404,"Census Tract 264.04, San Francisco County, California",668,374,294,"Census Tract 264.04, San Francisco County, California",70,82,73
G0600750030101,2020-2024,CA,,,California,06,San Francisco County,075,,,030101,,,,,,,,,,,,,,,,,,,,,,,1400000US06075030101,,,06075030101,"Census Tract 301.01, San Francisco County, California",2115,527,1588,"Census Tract 301.01, San Francisco County, California",234,113,266
G0600750030102,2020-2024,CA,,,California,06,San Francisco County,075,,,030102,,,,,,,,,,,,,,,,,,,,,,,1400000US06075030102,,,06075030102,"Census Tract 301.02, San Francisco County, California",2080,983,1097,"Census Tract 301.02, San Francisco County, California",203,149,206
G0600750030201,2020-2024,CA,,,California,06,San Francisco County,075,,,030201,,,,,,,,,,,,,,,,,,,,,,,1400000US06075030201,,,06075030201,"Census Tract 302.01, San Francisco County, California",1922,528,1394,"Census Tract 302.01, San Francisco County, California",280,120,294
G0600750030202,2020-2024,CA,,,California,06,San Francisco County,075,,,030202,,,,,,,,,,,,,,,,,,,,,,,1400000US06075030202,,,06075030202,"Census Tract 302.02, San Francisco County, California",2041,471,1570,"Census Tract 302.02, San Francisco County, California",292,151,300
G0600750030301,2020-2024,CA,,,California,06,San Francisco County,075,,,030301,,,,,,,,,,,,,,,,,,,,,,,1400000US06075030301,,,06075030301,"Census Tract 303.01, San Francisco County, California",2552,1463,1089,"Census Tract 303.01, San Francisco County, California",273,245,256
G0600750030302,2020-2024,CA,,,California,06,San Francisco County,075,,,030302,,,,,,,,,,,,,,,,,,,,,,,1400000US06075030302,,,06075030302,"Census Tract 303.02, San Francisco County, California",1313,920,393,"Census Tract 303.02, San Francisco County, California",158,121,150
G0600750030400,2020-2024,CA,,,California,06,San Francisco County,075,,,030400,,,,,,,,,,,,,,,,,,,,,,,1400000US06075030400,,,06075030400,"Census Tract 304, San Francisco County, California",2105,1725,380,"Census Tract 304, San Francisco County, California",314,321,149
G0600750030500,2020-2024,CA,,,California,06,San Francisco County,075,,,030500,,,,,,,,,,,,,,,,,,,,,,,1400000US06075030500,,,06075030500,"Census Tract 305, San Francisco County, California",1019,734,285,"Census Tract 305, San Francisco County, California",131,131,113
G0600750030600,2020-2024,CA,,,California,06,San Francisco County,075,,,030600,,,,,,,,,,,,,,,,,,,,,,,1400000US06075030600,,,06075030600,"Census Tract 306, San Francisco County, California",888,783,105,"Census Tract 306, San Francisco County, California",100,103,49
G0600750030700,2020-2024,CA,,,California,06,San Francisco County,075,,,030700,,,,,,,,,,,,,,,,,,,,,,,1400000US06075030700,,,06075030700,"Census Tract 307, San Francisco County, California",2751,2435,316,"Census Tract 307, San Francisco County, California",208,235,157
G0600750030800,2020-2024,CA,,,California,06,San Francisco County,075,,,030800,,,,,,,,,,,,,,,,,,,,,,,1400000US06075030800,,,06075030800,"Census Tract 308, San Francisco County, California",2010,1526,484,"Census Tract 308, San Francisco County, California",244,173,197
G0600750030900,2020-2024,CA,,,California,06,San Francisco County,075,,,030900,,,,,,,,,,,,,,,,,,,,,,,1400000US06075030900,,,06075030900,"Census Tract 309, San Francisco County, California",2274,2117,157,"Census Tract 309, San Francisco County, California",373,356,92
G0600750031000,2020-2024,CA,,,California,06,San Francisco County,075,,,031000,,,,,,,,,,,,,,,,,,,,,,,1400000US06075031000,,,06075031000,"Census Tract 310, San Francisco County, California",1576,1188,388,"Census Tract 310, San Francisco County, California",181,200,97
