GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUO7E001,AUO7E002,AUO7E003,AUO7E004,AUO7E005,AUO7E006,AUO7E007,AUO7E008,AUO7E009,AUO7E010,NAME_M,AUO7M001,AUO7M002,AUO7M003,AUO7M004,AUO7M005,AUO7M006,AUO7M007,AUO7M008,AUO7M009,AUO7M010
G0600750022803,2020-2024,CA,,,California,06,San Francisco County,075,,,022803,,,,,,,,,,,,,,,,,,,,,,,1400000US06075022803,,,06075022803,"Census Tract 228.03, San Francisco County, California",4117,1411,129,0,634,0,1409,534,279,255,"Census Tract 228.03, San Francisco County, California",627,308,95,14,261,14,507,230,190,115
G0600750022901,2020-2024,CA,,,California,06,San Francisco County,075,,,022901,,,,,,,,,,,,,,,,,,,,,,,1400000US06075022901,,,06075022901,"Census Tract 229.01, San Francisco County, California",4542,1195,86,182,429,0,1788,862,636,226,"Census Tract 229.01, San Francisco County, California",646,415,110,273,168,14,784,430,404,115
G0600750022902,2020-2024,CA,,,California,06,San Francisco County,075,,,022902,,,,,,,,,,,,,,,,,,,,,,,1400000US06075022902,,,06075022902,"Census Tract 229.02, San Francisco County, California",1891,709,139,20,322,0,351,350,229,121,"Census Tract 229.02, San Francisco County, California",255,203,195,29,144,14,160,114,107,75
G0600750022903,2020-2024,CA,,,California,06,San Francisco County,075,,,022903,,,,,,,,,,,,,,,,,,,,,,,1400000US06075022903,,,06075022903,"Census Tract 229.03, San Francisco County, California",2798,1388,85,54,408,0,291,572,201,371,"Census Tract 229.03, San Francisco County, California",543,321,73,85,171,14,176,228,128,214
G0600750023001,2020-2024,CA,,,California,06,San Francisco County,075,,,023001,,,,,,,,,,,,,,,,,,,,,,,1400000US06075023001,,,06075023001,"Census Tract 230.01, San Francisco County, California",5108,563,302,134,3341,0,482,286,241,45,"Census Tract 230.01, San Francisco County, California",785,317,171,180,612,19,228,209,201,51
G0600750023003,2020-2024,CA,,,California,06,San Francisco County,075,,,023003,,,,,,,,,,,,,,,,,,,,,,,1400000US06075023003,,,06075023003,"Census Tract 230.03, San Francisco County, California",3812,439,324,0,2287,25,374,363,202,161,"Census Tract 230.03, San Francisco County, California",447,121,187,14,419,44,234,251,245,107
G0600750023102,2020-2024,CA,,,California,06,San Francisco County,075,,,023102,,,,,,,,,,,,,,,,,,,,,,,1400000US06075023102,,,06075023102,"Census Tract 231.02, San Francisco County, California",3231,135,1570,0,378,0,638,510,123,387,"Census Tract 231.02, San Francisco County, California",709,126,703,14,226,14,422,278,75,276
G0600750023103,2020-2024,CA,,,California,06,San Francisco County,075,,,023103,,,,,,,,,,,,,,,,,,,,,,,1400000US06075023103,,,06075023103,"Census Tract 231.03, San Francisco County, California",4545,56,2239,48,634,499,639,430,221,209,"Census Tract 231.03, San Francisco County, California",645,108,623,90,294,273,352,223,194,146
G0600750023200,2020-2024,CA,,,California,06,San Francisco County,075,,,023200,,,,,,,,,,,,,,,,,,,,,,,1400000US06075023200,,,06075023200,"Census Tract 232, San Francisco County, California",3570,464,808,8,1168,8,887,227,119,108,"Census Tract 232, San Francisco County, California",739,279,346,15,670,14,260,143,124,76
G0600750023300,2020-2024,CA,,,California,06,San Francisco County,075,,,023300,,,,,,,,,,,,,,,,,,,,,,,1400000US06075023300,,,06075023300,"Census Tract 233, San Francisco County, California",3818,528,419,0,2095,0,464,312,55,257,"Census Tract 233, San Francisco County, California",517,140,252,14,437,14,230,162,48,143
