GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUO6E001,NAME_M,AUO6M001
G0600750012403,2020-2024,CA,,,California,06,San Francisco County,075,,,012403,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012403,,,06075012403,"Census Tract 124.03, San Francisco County, California",2481,"Census Tract 124.03, San Francisco County, California",648
G0600750012404,2020-2024,CA,,,California,06,San Francisco County,075,,,012404,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012404,,,06075012404,"Census Tract 124.04, San Francisco County, California",2714,"Census Tract 124.04, San Francisco County, California",453
G0600750012405,2020-2024,CA,,,California,06,San Francisco County,075,,,012405,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012405,,,06075012405,"Census Tract 124.05, San Francisco County, California",3764,"Census Tract 124.05, San Francisco County, California",491
G0600750012406,2020-2024,CA,,,California,06,San Francisco County,075,,,012406,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012406,,,06075012406,"Census Tract 124.06, San Francisco County, California",1529,"Census Tract 124.06, San Francisco County, California",254
G0600750012502,2020-2024,CA,,,California,06,San Francisco County,075,,,012502,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012502,,,06075012502,"Census Tract 125.02, San Francisco County, California",4517,"Census Tract 125.02, San Francisco County, California",696
G0600750012503,2020-2024,CA,,,California,06,San Francisco County,075,,,012503,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012503,,,06075012503,"Census Tract 125.03, San Francisco County, California",4772,"Census Tract 125.03, San Francisco County, California",558
G0600750012504,2020-2024,CA,,,California,06,San Francisco County,075,,,012504,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012504,,,06075012504,"Census Tract 125.04, San Francisco County, California",693,"Census Tract 125.04, San Francisco County, California",220
G0600750012601,2020-2024,CA,,,California,06,San Francisco County,075,,,012601,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012601,,,06075012601,"Census Tract 126.01, San Francisco County, California",2105,"Census Tract 126.01, San Francisco County, California",347
G0600750012602,2020-2024,CA,,,California,06,San Francisco County,075,,,012602,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012602,,,06075012602,"Census Tract 126.02, San Francisco County, California",3071,"Census Tract 126.02, San Francisco County, California",477
G0600750012700,2020-2024,CA,,,California,06,San Francisco County,075,,,012700,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012700,,,06075012700,"Census Tract 127, San Francisco County, California",4027,"Census Tract 127, San Francisco County, California",674
G0600750012801,2020-2024,CA,,,California,06,San Francisco County,075,,,012801,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012801,,,06075012801,"Census Tract 128.01, San Francisco County, California",2568,"Census Tract 128.01, San Francisco County, California",578
G0600750012802,2020-2024,CA,,,California,06,San Francisco County,075,,,012802,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012802,,,06075012802,"Census Tract 128.02, San Francisco County, California",1855,"Census Tract 128.02, San Francisco County, California",334
G0600750012901,2020-2024,CA,,,California,06,San Francisco County,075,,,012901,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012901,,,06075012901,"Census Tract 129.01, San Francisco County, California",2830,"Census Tract 129.01, San Francisco County, California",579
G0600750012902,2020-2024,CA,,,California,06,San Francisco County,075,,,012902,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012902,,,06075012902,"Census Tract 129.02, San Francisco County, California",2589,"Census Tract 129.02, San Francisco County, California",366
G0600750013001,2020-2024,CA,,,California,06,San Francisco County,075,,,013001,,,,,,,,,,,,,,,,,,,,,,,1400000US06075013001,,,06075013001,"Census Tract 130.01, San Francisco County, California",1427,"Census Tract 130.01, San Francisco County, California",250
G0600750013002,2020-2024,CA,,,California,06,San Francisco County,075,,,013002,,,,,,,,,,,,,,,,,,,,,,,1400000US06075013002,,,06075013002,"Census Tract 130.02, San Francisco County, California",2843,"Census Tract 130.02, San Francisco County, California",650
G0600750013101,2020-2024,CA,,,California,06,San Francisco County,075,,,013101,,,,,,,,,,,,,,,,,,,,,,,1400000US06075013101,,,06075013101,"Census Tract 131.01, San Francisco County, California",3768,"Census Tract 131.01, San Francisco County, California",544
G0600750013102,2020-2024,CA,,,California,06,San Francisco County,075,,,013102,,,,,,,,,,,,,,,,,,,,,,,1400000US06075013102,,,06075013102,"Census Tract 131.02, San Francisco County, California",2550,"Census Tract 131.02, San Francisco County, California",456
G0600750013200,2020-2024,CA,,,California,06,San Francisco County,075,,,013200,,,,,,,,,,,,,,,,,,,,,,,1400000US06075013200,,,06075013200,"Census Tract 132, San Francisco County, California",3481,"Census Tract 132, San Francisco County, California",557
G0600750013300,2020-2024,CA,,,California,06,San Francisco County,075,,,013300,,,,,,,,,,,,,,,,,,,,,,,1400000US06075013300,,,06075013300,"Census Tract 133, San Francisco County, California",3952,"Census Tract 133, San Francisco County, California",451
G0600750013401,2020-2024,CA,,,California,06,San Francisco County,075,,,013401,,,,,,,,,,,,,,,,,,,,,,,1400000US06075013401,,,06075013401,"Census Tract 134.01, San Francisco County, California",1390,"Census Tract 134.01, San Francisco County, California",295
G0600750013402,2020-2024,CA,,,California,06,San Francisco County,075,,,013402,,,,,,,,,,,,,,,,,,,,,,,1400000US06075013402,,,06075013402,"Census Tract 134.02, San Francisco County, California",2420,"Census Tract 134.02, San Francisco County, California",400
G0600750013500,2020-2024,CA,,,California,06,San Francisco County,075,,,013500,,,,,,,,,,,,,,,,,,,,,,,1400000US06075013500,,,06075013500,"Census Tract 135, San Francisco County, California",2807,"Census Tract 135, San Francisco County, California",331
G0600750015100,2020-2024,CA,,,California,06,San Francisco County,075,,,015100,,,,,,,,,,,,,,,,,,,,,,,1400000US06075015100,,,06075015100,"Census Tract 151, San Francisco County, California",2641,"Census Tract 151, San Francisco County, California",423
G0600750015201,2020-2024,CA,,,California,06,San Francisco County,075,,,015201,,,,,,,,,,,,,,,,,,,,,,,1400000US06075015201,,,06075015201,"Census Tract 152.01, San Francisco County, California",1615,"Census Tract 152.01, San Francisco County, California",203
G0600750015202,2020-2024,CA,,,California,06,San Francisco County,075,,,015202,,,,,,,,,,,,,,,,,,,,,,,1400000US06075015202,,,06075015202,"Census Tract 152.02, San Francisco County, California",2413,"Census Tract 152.02, San Francisco County, California",631
G0600750015300,2020-2024,CA,,,California,06,San Francisco County,075,,,015300,,,,,,,,,,,,,,,,,,,,,,,1400000US06075015300,,,06075015300,"Census Tract 153, San Francisco County, California",2377,"Census Tract 153, San Francisco County, California",414
G0600750015401,2020-2024,CA,,,California,06,San Francisco County,075,,,015401,,,,,,,,,,,,,,,,,,,,,,,1400000US06075015401,,,06075015401,"Census Tract 154.01, San Francisco County, California",3205,"Census Tract 154.01, San Francisco County, California",380
G0600750015402,2020-2024,CA,,,California,06,San Francisco County,075,,,015402,,,,,,,,,,,,,,,,,,,,,,,1400000US06075015402,,,06075015402,"Census Tract 154.02, San Francisco County, California",2688,"Census Tract 154.02, San Francisco County, California",575
G0600750015500,2020-2024,CA,,,California,06,San Francisco County,075,,,015500,,,,,,,,,,,,,,,,,,,,,,,1400000US06075015500,,,06075015500,"Census Tract 155, San Francisco County, California",4011,"Census Tract 155, San Francisco County, California",517
G0600750015600,2020-2024,CA,,,California,06,San Francisco County,075,,,015600,,,,,,,,,,,,,,,,,,,,,,,1400000US06075015600,,,06075015600,"Census Tract 156, San Francisco County, California",2964,"Census Tract 156, San Francisco County, California",501
G0600750015701,2020-2024,CA,,,California,06,San Francisco County,075,,,015701,,,,,,,,,,,,,,,,,,,,,,,1400000US06075015701,,,06075015701,"Census Tract 157.01, San Francisco County, California",4777,"Census Tract 157.01, San Francisco County, California",488
G0600750015702,2020-2024,CA,,,California,06,San Francisco County,075,,,015702,,,,,,,,,,,,,,,,,,,,,,,1400000US06075015702,,,06075015702,"Census Tract 157.02, San Francisco County, California",3080,"Census Tract 157.02, San Francisco County, California",676
G0600750015801,2020-2024,CA,,,California,06,San Francisco County,075,,,015801,,,,,,,,,,,,,,,,,,,,,,,1400000US06075015801,,,06075015801,"Census Tract 158.01, San Francisco County, California",3384,"Census Tract 158.01, San Francisco County, California",483
G0600750015802,2020-2024,CA,,,California,06,San Francisco County,075,,,015802,,,,,,,,,,,,,,,,,,,,,,,1400000US06075015802,,,06075015802,"Census Tract 158.02, San Francisco County, California",3095,"Census Tract 158.02, San Francisco County, California",519
