id,lat,lon,year_mon
664,37.773207425,-122.421535842,2020-10
665,37.780906079,-122.413401297,2022-09
666,37.781145862,-122.409026046,2021-10
667,37.754772185,-122.416421083,2020-11
668,37.736096326,-122.425796323,2023-05
669,37.71882359,-122.400423391,2022-06
670,37.781294729,-122.479518405,2021-09
671,37.78832457,-122.393911345,2022-06
672,37.796955164,-122.398908212,2021-05
673,37.783919419,-122.463485944,2023-05
674,37.7380275,-122.391497205,2023-11
675,37.776959835,-122.468822836,2022-05
676,37.799443802,-122.405671314,2020-11
677,37.78832457,-122.393911345,2023-01
678,37.794613864,-122.403978966,2024-07
679,37.78832457,-122.393911345,2023-06
680,37.789478818,-122.414561131,2023-05
681,37.783904332,-122.390120594,2023-07
682,37.748907708,-122.410533055,2023-04
683,37.761277299,-122.429469067,2024-10
684,37.709461483,-122.45351924,2021-12
685,37.78832457,-122.393911345,2023-03
686,37.799398245,-122.412413942,2022-03
687,37.757451265,-122.412902671,2022-08
688,37.78832457,-122.393911345,2023-01
689,37.787180565,-122.424214337,2020-04
690,37.78832457,-122.393911345,2022-06
691,37.750782198,-122.491209318,2022-07
692,37.791118804,-122.416758004,2021-08
693,37.787304006,-122.396380477,2022-05
694,37.742547775,-122.421159714,2024-07
695,37.761031443,-122.419351641,2021-09
696,37.76944087,-122.424670274,2024-12
697,37.785548591,-122.46897631,2021-08
698,37.723620742,-122.468200852,2024-04
