zip,tract,res_ratio,date
94131,06075031100,0.07394727832933927,2020-09
94131,06075020402,0.13611776788770968,2020-09
94131,06075030102,0.07100308113659706,2020-09
94131,06075030500,0.05669291338582677,2020-09
94131,06075021700,0.18219787743923313,2020-09
94131,06075021800,0.1262581307771311,2020-09
94131,06075021400,0.03355015405682985,2020-09
94131,06075021600,0.15179732968161588,2020-09
94131,06075020401,0.002327969873331051,2020-09
94132,06075031301,0.09516116002908151,2020-09
94132,06075030900,0.044510865174892965,2020-09
94132,06075060400,0.14363034170773084,2020-09
94132,06075033201,0.09346473867032878,2020-09
94132,06075033100,0.1574440584861459,2020-09
94132,06075033203,0.1429840859520155,2020-09
94132,06075030800,0.008482106793763633,2020-09
94132,06075031302,0.14564989094434122,2020-09
94132,06075033204,0.14516519912755474,2020-09
94133,06075011300,0.03674504695962158,2020-09
94133,06075010800,0.10296839651744705,2020-09
94133,06075010500,0.00027421676835538494,2020-09
94133,06075010300,0.16055391787207787,2020-09
94133,06075010600,0.1436895866182217,2020-09
94158,06075022600,0.0008871540099361249,2020-09
94108,06075011700,0.09410334346504559,2022-06
94108,06075011300,0.13240121580547112,2022-06
94108,06075060100,0.0,2022-06
94108,06075011902,0.26759878419452887,2022-06
94108,06075012100,0.07148936170212766,2022-06
94108,06075011800,0.08814589665653495,2022-06
94108,06075011901,0.031124620060790274,2022-06
94108,06075010800,0.0252887537993921,2022-06
94108,06075011200,0.16425531914893618,2022-06
94107,06075010500,0.0,2022-06
94107,06075022802,4.981071926678621e-05,2022-06
94107,06075022600,0.1325961346881849,2022-06
94107,06075022704,0.1174536760310819,2022-06
94107,06075980900,0.017981669655309823,2022-06
94107,06075017801,0.08173939031679617,2022-06
94107,06075022702,0.057680812910938434,2022-06
94107,06075022903,0.0,2022-06
94107,06075018000,0.0968320382546324,2022-06
94109,06075012100,0.04331284752707053,2022-06
94109,06075013101,0.06797562987203022,2022-06
94109,06075010800,0.027110437119216752,2022-06
94109,06075015100,0.05408784952244127,2022-06
94109,06075012202,0.04512198366456487,2022-06
94109,06075013102,0.04514858860776332,2022-06
94109,06075012302,0.020805065581184983,2022-06
94109,06075011901,0.043259637640673636,2022-06
94109,06075012902,0.00034586426157980153,2022-06
94109,06075011200,0.02868012876792508,2022-06
94109,06075012901,0.007742038470747865,2022-06
94109,06075015900,0.014552903929550111,2022-06
94109,06075015500,0.031207598371777476,2022-06
94109,06075016000,0.020006917285231594,2022-06
94114,06075016700,0.0010725585885128974,2022-06
94114,06075021400,0.06472891081675336,2022-06
94114,06075016900,0.09749557569582239,2022-06
94114,06075020401,0.0925081782592374,2022-06
94114,06075030102,0.00815144527269802,2022-06
94114,06075020402,0.03603796857403336,2022-06
94114,06075020300,0.08768166461092937,2022-06
94114,06075017000,0.0900949214350834,2022-06
94114,06075020500,0.10548613718024347,2022-06
94114,06075021100,0.10570064889794605,2022-06
94114,06075021300,0.06033142060385049,2022-06
94114,06075021200,0.08457124470424197,2022-06
94114,06075016801,0.006059956025097871,2022-06
94114,06075030500,0.006971630825333834,2022-06
94124,06075023003,0.09211889393577177,2022-06
94124,06075023001,0.10112359550561797,2022-06
94124,06075025100,7.96876245119133e-05,2022-06
94124,06075061200,0.09546577416527213,2022-06
94124,06075980600,0.053550083672005734,2022-06
94124,06075026402,0.0003187504980476532,2022-06
94124,06075061000,0.06630010359391186,2022-06
94124,06075023103,0.12152362738066778,2022-06
94124,06075980900,0.0067734480835126305,2022-06
94124,06075023102,0.10717985496852339,2022-06
94124,06075025702,0.0007171886206072197,2022-06
94124,06075023200,0.1522033628177544,2022-06
94124,06075023400,0.0857438839748187,2022-06
94124,06075023300,0.1169017451589768,2022-06
94124,06075010500,0.0,2022-06
94133,06075011300,0.03672297066265472,2022-06
94133,06075010600,0.1433358407987417,2022-06
94133,06075010500,0.0002735416809136292,2022-06
94133,06075010800,0.10278328660329618,2022-06
94133,06075010300,0.16036381043561512,2022-06
94102,06075012301,0.06665702718334297,2022-06
94102,06075016300,0.04752265278581068,2022-06
94102,06075016802,0.10935993830730673,2022-06
94102,06075011700,0.0014459224985540775,2022-06
94102,06075012302,0.0478118372855215,2022-06
94102,06075016200,0.11495083863504917,2022-06
94102,06075016801,0.042606516290726815,2022-06
94102,06075012100,0.015615962984384037,2022-06
94102,06075016000,0.060584152689415846,2022-06
94102,06075012502,0.11229998072103335,2022-06
94121,06075980200,0.003826530612244898,2022-06
94121,06075042601,0.1251530612244898,2022-06
94121,06075047701,0.10331632653061225,2022-06
94121,06075047801,0.08841836734693878,2022-06
94121,06075042602,0.03974489795918367,2022-06
94121,06075042800,0.048112244897959185,2022-06
94121,06075980300,0.002295918367346939,2022-06
94121,06075047702,0.08352040816326531,2022-06
94121,06075047902,0.0796938775510204,2022-06
94121,06075042700,0.1373469387755102,2022-06
94121,06075047600,0.06260204081632653,2022-06
94121,06075047802,0.08255102040816327,2022-06
94122,06075030101,0.06162996709693749,2022-06
94122,06075035202,0.07765966422002868,2022-06
94122,06075032700,0.09959503923057454,2022-06
94122,06075030301,0.10267442841474732,2022-06
94122,06075030201,0.0810343372985742,2022-06
94122,06075032602,0.06956044883151945,2022-06
94122,06075032902,0.035940268286509744,2022-06
94122,06075032802,0.04610647093562811,2022-06
94122,06075030302,0.021091706740909474,2022-06
94122,06075030202,0.10423521471357462,2022-06
94122,06075035201,0.06875896397536489,2022-06
94122,06075032601,0.08997722095671981,2022-06
94122,06075980300,0.00480890913692736,2022-06
94122,06075030102,0.026617733907027756,2022-06
