id,lat,lon,year_month
364,37.781347916,-122.4783051,1998-02
365,37.790930611,-122.409788678,2018-05
366,37.730464014,-122.389831159,1997-08
367,37.743697723,-122.482255209,2014-04
368,37.721711633,-122.452051853,1998-10
369,37.781377821,-122.433162044,2024-11
370,37.751753868,-122.468336241,2022-05
371,37.723954106,-122.462205803,2001-05
372,37.781537434,-122.40951834,2005-09
373,37.719027851,-122.482266823,2018-09
374,37.785890332,-122.411725718,2016-03
375,37.778371859,-122.434240837,2000-11
376,37.746493473,-122.426998694,1998-06
377,37.720124587,-122.483106169,1997-07
378,37.761293253,-122.464978879,2000-09
379,37.74487158,-122.451892237,1999-09
380,37.802752761,-122.408465104,2005-08
381,37.729480622,-122.430398999,2008-07
382,37.781287653,-122.411318099,2013-10
383,37.757368162,-122.469135935,2002-10
384,37.790463179,-122.405941468,1998-12
385,37.753352414,-122.475410238,2020-06
386,37.793444093,-122.416270691,2000-02
387,37.721632734,-122.435054962,2004-12
388,37.805554274,-122.410285575,2017-06
389,37.713323599,-122.403291501,2004-12
390,37.748192598,-122.44493523,2011-03
391,37.715304598,-122.400097819,2018-01
392,37.784074467,-122.460134301,2017-12
393,37.759777745,-122.499361903,2014-06
394,37.752421188,-122.405338378,2018-06
395,37.720588964,-122.435220485,2013-12
396,37.780232206,-122.454358589,2013-07
397,37.724344984,-122.458725215,1997-08
398,37.831665571,-122.373283657,2003-11
399,37.784810924,-122.485148531,2015-03
400,37.722847124,-122.409201548,2012-08
401,37.752384393,-122.441643242,2014-07
402,37.779685574,-122.495984089,2007-04
403,37.766703828,-122.420236789,2025-07
404,37.746525647,-122.416497793,2008-01
405,37.784698897,-122.413593722,2017-10
406,37.791532053,-122.424182651,2005-08
407,37.779530959,-122.413542707,2024-03
408,37.754032677,-122.502185506,1999-12
409,37.777083316,-122.416979514,2018-07
410,37.780412626,-122.504177714,2013-03
411,37.767153434,-122.42520784,1998-03
412,37.792999951,-122.423705488,2015-04
413,37.774041345,-122.423188032,1997-05
414,37.777577551,-122.411096952,2005-11
415,37.731826153,-122.480132424,1998-06
416,37.795766597,-122.417513434,2000-07
417,37.80387403,-122.434335915,2014-05
418,37.778934322,-122.488875416,2013-08
419,37.788452159,-122.420326994,2021-05
420,37.771061041,-122.453079565,2005-10
421,37.784498756,-122.415240041,2025-06
422,37.731623937,-122.452277568,2012-12
423,37.789160784,-122.416183426,2007-08
424,37.774748587,-122.476286293,2021-09
425,37.799236318,-122.422362734,2000-05
426,37.765762128,-122.450691487,2014-04
427,37.786360792,-122.415616899,2024-03
428,37.722140515,-122.404048137,2010-10
429,37.757788229,-122.407282307,2012-09
430,37.762253262,-122.465651522,2002-10
431,37.76005455,-122.493071574,2006-01
432,37.79838308,-122.407521729,2013-04
433,37.78221987,-122.418155165,2000-12
434,37.774904304,-122.40716587,2005-07
435,37.743744721,-122.481184436,2012-02
436,37.793885306,-122.412851826,2009-10
437,37.76926771,-122.423396857,2011-02
438,37.741419042,-122.422665047,2016-04
439,37.780234521,-122.405564838,2023-12
440,37.779727709,-122.431103474,1999-05
441,37.764027282,-122.404365369,2004-07
442,37.776369486,-122.481778678,2014-10
443,37.708741534,-122.406347667,2025-09
444,37.793954089,-122.408300872,2008-01
445,37.730536971,-122.407543425,2009-07
446,37.763358725,-122.40388637,2004-07
447,37.765983601,-122.430370483,1998-10
448,37.755157082,-122.402550052,1998-08
449,37.799286569,-122.444348959,2017-06
450,37.751774655,-122.44498857,2009-04
451,37.75221006,-122.419826074,1999-05
