zip,tract,res_ratio
94115,6075015900,0.130097179878048
94115,6075013400,0.106612042682926
94115,6075013300,0.0168159298780487
94115,6075013500,0.0924637957317073
94115,6075060100,0.000285823170731707
94115,6075015700,0.0504954268292682
94115,6075015400,0.0525438262195121
94115,6075015300,0.0562595274390243
94132,6075060400,0.143641945386976
94132,6075033203,0.158103086120536
94132,6075030800,0.00848279205041202
94132,6075031400,0.00492809823881079
94132,6075033201,0.0934722895459686
94132,6075031301,0.095168847956051
94132,6075030900,0.0445144611407335
94132,6075033204,0.130069478106317
94132,6075033100,0.157295201163354
94132,6075031302,0.145661657779932
94132,6075033000,0.0186621425109064
94131,6075021500,0.126292011773564
94131,6075020401,0.0023273324662879
94131,6075030500,0.0566773906495995
94131,6075030102,0.070983640221781
94131,6075020402,0.136217400232733
94131,6075021400,0.0334725169416113
94131,6075021800,0.126360462728455
94131,6075030700,0.0282702443699089
94131,6075021300,0.0118420151961119
94131,6075031100,0.0739270312820863
94131,6075021700,0.181805736190019
94131,6075021600,0.15182421794784
94127,6075021700,0.00137741046831955
94127,6075031100,0.0811419984973703
94127,6075031000,0.0562233909341347
94127,6075030600,0.106686701728024
94127,6075030900,0.231780616078136
94127,6075030500,0.0138993238166791
94127,6075030700,0.293764087152516
94127,6075030800,0.215126471324818
94103,6075017802,0.148174490279753
94103,6075022704,0.000379326695116168
94103,6075022802,4.74158368895211e-05
94103,6075012402,0.0
94103,6075061500,0.00649596965386439
94103,6075020100,0.137648174490279
94103,6075017801,0.0431958274063537
94103,6075020200,0.137837837837837
94103,6075060700,0.0215742057847321
94103,6075018000,0.0463726884779516
94103,6075017601,0.361688003793266
94103,6075020300,0.0165007112375533
94103,6075017700,0.0800853485064011
94110,6075021100,0.00456329899674529
94110,6075020600,0.00171123712377948
94110,6075022903,0.0388887024796161
94110,6075020200,0.0144280777102976
94110,6075022801,0.0730127839479247
94110,6075020300,0.00137570043284233
94110,6075021500,0.0292587994497198
94110,6075025403,0.0299634265006878
94110,6075022901,0.0535516558735697
94110,6075021800,0.00251652518202865
94110,6075021000,0.0796564104284803
94110,6075025100,0.0473777807603261
94110,6075020900,0.0636513102707781
94110,6075020700,0.0995201825319598
94110,6075021400,0.0032882595711841
94110,6075025401,0.0463040633493272
94110,6075025402,0.0371439116867429
94110,6075025300,0.0632151125725598
94110,6075022902,0.0279837600241586
94110,6075020800,0.0953930812334328
94110,6075022803,0.0570076837902224
94110,6075017700,0.0037244572694024
94110,6075025200,0.0760997215045465
94110,6075020100,0.0259034325403482
94110,6075022802,0.0244606247693185
94105,6075010500,0.0
94105,6075061500,1.0
